,A.1 Expected Annual Damage,A.1 Expected Number of Deaths,A.2 Expected Annual Damage,A.2 Expected Number of Deaths,A.4 Expected Annual Damage,A.4 Expected Number of Deaths,A.5 Expected Annual Damage,A.5 Expected Number of Deaths,Total Infrastructure Costs
0,23287382.715792652,0.018189397958628943,681781394.1985984,0.7010148880543998,2812164.921515856,0.0013121864121018161,0.0,0.0,84600000.0
1,19210118.901605587,0.014007180376865068,128202160.06829685,0.13122443387950777,0.0,0.0,0.0,0.0,84600000.0
2,0.0,0.0,37380946.05531055,0.02958449526578937,13917869.03215501,0.006031034731523517,243874721.9709202,0.1795578980477586,84600000.0
3,0.0,0.0,6387115.967367988,0.008741701106158767,18443067.15514742,0.01220574122411808,0.0,0.0,84600000.0
4,0.0,0.0,76683334.90279758,0.07194355815382364,49612751.20233406,0.022665384798955187,0.0,0.0,84600000.0
5,0.0,0.0,58200562.20887081,0.05491303105481253,1425818.4995605315,0.0006542058411644858,191090265.62166786,0.1668040110272062,84600000.0
6,464096373.553015,0.2761995200343145,183024069.12372923,0.154114978626341,1717321.4595499309,0.0007024111263856695,0.0,0.0,84600000.0
7,32609219.115374118,0.02094207302956214,93864196.6969306,0.0871720853195452,0.0,0.0,858725523.5940075,0.7169300837834343,84600000.0
8,0.0,0.0,24444491.146749783,0.023584036802105447,39486693.12196626,0.017751480530246326,0.0,0.0,84600000.0
9,2997046.884381989,0.0027946413837678747,41530799.25913685,0.05502546465576079,0.0,0.0,537877739.1611296,0.6509738416845271,84600000.0
10,10464765.322012551,0.006670498913640811,792663193.4858814,0.6653958262772401,1654572.3264113863,0.0007245428832041832,0.0,0.0,84600000.0
11,0.0,0.0,153809223.3668258,0.18152471476339016,6429397.866476964,0.0037929114477414407,0.0,0.0,84600000.0
12,0.0,0.0,11031031.239519613,0.008916391596730942,101287849.98485747,0.03840010543661727,655153589.8254824,0.46113110304005983,84600000.0
13,0.0,0.0,37703836.34173141,0.03228510713935066,173007142.868511,0.06526252472419458,0.0,0.0,84600000.0
14,0.0,0.0,32175349.537258066,0.029581587256063493,164026072.9414227,0.06625881236828515,5759894.642305164,0.004901623981668234,84600000.0
15,10575146.689758249,0.00790035001464002,21665520.75513176,0.023782535131676184,24911211.13423024,0.013160685945266006,0.0,0.0,84600000.0
16,0.0,0.0,70919180.8883596,0.07099507659988727,5036443.075166966,0.002618831179078171,5640966.568770202,0.005439008298858246,84600000.0
17,0.0,0.0,4110543.254004686,0.004861480470321639,24337042.059792865,0.011204456740687284,0.0,0.0,84600000.0
18,1671987569.0982373,1.2558540372895137,0.0,0.0,0.0,0.0,0.0,0.0,84600000.0
19,114919474.47865354,0.1011873749142105,82309262.41612758,0.10561052891115322,0.0,0.0,0.0,0.0,84600000.0
20,0.0,0.0,717018095.4673257,0.6711926507349137,0.0,0.0,0.0,0.0,84600000.0
21,0.0,0.0,32089257.32839621,0.029430159328908134,4666591.4323778255,0.00222184730194317,0.0,0.0,84600000.0
22,0.0,0.0,201943302.8376484,0.1873178917608864,28663469.10624647,0.013204632763011134,0.0,0.0,84600000.0
23,54061906.10189311,0.03266217051985631,60840936.47966425,0.054577414392366186,100766599.72790578,0.04302851590736721,0.0,0.0,84600000.0
24,1533224322.0705965,1.2558687281285037,367255032.55426943,0.4028588274173436,0.0,0.0,0.0,0.0,84600000.0
25,0.0,0.0,58686614.73690106,0.07265528269882227,36897579.42049196,0.021897787267965124,477935330.57185185,0.5446130547153961,84600000.0
26,2111950669.4618616,1.256272838377115,0.0,0.0,0.0,0.0,8936030.009445937,0.00762253193043433,84600000.0
