,epsilon_progress,nfe
0,0,0
1,10,100
2,51,1198
3,95,2296
4,136,3391
5,203,4471
6,237,5538
7,244,6540
8,247,7612
9,252,8624
10,262,9713
11,267,10714
12,269,11748
13,270,12792
14,277,13845
15,278,14872
16,278,15901
17,279,16940
18,279,17975
19,279,19012
20,279,20108
21,279,21139
22,279,22184
23,279,23197
24,279,24219
25,279,25236
26,279,26266
27,279,27289
28,279,28302
29,279,29337
30,279,30083
