,EWS_DaysToThreat,rfr_0_t0,rfr_0_t1,rfr_0_t2,rfr_1_t0,rfr_1_t1,rfr_1_t2,rfr_2_t0,rfr_2_t1,rfr_2_t2,rfr_3_t0,rfr_3_t1,rfr_3_t2,rfr_4_t0,rfr_4_t1,rfr_4_t2,A1_DikeIncrease_t0,A1_DikeIncrease_t1,A1_DikeIncrease_t2,A2_DikeIncrease_t0,A2_DikeIncrease_t1,A2_DikeIncrease_t2,A3_DikeIncrease_t0,A3_DikeIncrease_t1,A3_DikeIncrease_t2,A4_DikeIncrease_t0,A4_DikeIncrease_t1,A4_DikeIncrease_t2,A5_DikeIncrease_t0,A5_DikeIncrease_t1,A5_DikeIncrease_t2,A4_Expected_Annual_Damage,A4_Expected_Number_of_Deaths,Total_Infrastructure_Costs,Total_Expected_Annual_Damage,Total_Expected_Number_of_Deaths
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,9,0,0,4,0,0,5,0,0,5,0,0,0.0,0.0,224858146.11350837,0.0,0.0
1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,2,0,0,2,0,0,0.0,0.0,161672726.47037676,159165888.94358122,0.0221145889985113
2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,8,0,0,4,0,0,4,0,0,4,0,0,0.0,0.0,204725608.75960508,13715459.085086329,0.0010727507511542
3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,50772205.63598576,0.0020901927280124,113382609.11769688,305427995.9913595,0.0258158259413119
4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,9,0,0,4,0,0,5,0,0,5,0,0,0.0,0.0,218113339.45737103,6245292.870869164,0.0004072254545837
5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,2,0,0,3,0,0,3,0,0,0.0,0.0,187735168.22099152,46699871.54535131,0.004030564387288
6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,2,0,0,2,0,0,3,0,0,1973887.9845399277,9.381235299026757e-05,186613840.74390528,48673759.52989124,0.0041243767402783
7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,51679799.15381363,0.002159494140922,127287956.45790625,270016277.8800249,0.0290826574498298
8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,8,0,0,5,0,0,5,0,0,4,0,0,0.0,0.0,215239009.32813427,7470166.214217162,0.0006655252965704
9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,50772205.63598576,0.0020901927280124,120127415.77383414,299182703.1204903,0.0254086004867281
10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,51679799.15381363,0.002159494140922,120017609.62706248,295537034.9647993,0.0309780523214745
11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,7,0,0,0,0,0,2,0,0,2,0,0,0.0,0.0,168943073.30122054,133645131.8588068,0.0202191941268666
12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13122470.333590534,0.0005385546016165,92217628.13872164,1305941180.1577375,0.0986290077219672
13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,2,0,0,0,0,0,0,0,0,50331456.35556285,0.0020874200763334,129498897.98597224,316243817.9458731,0.0238220958454743
14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13122470.333590534,0.0005385546016165,53972506.18695759,1414964716.036283,0.1064214486977356
15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0.0,0.0,138689094.18300846,273144961.3414711,0.0252509090658203
16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,1,0,0,1,0,0,0.0,0.0,144740623.51353687,194512939.4827254,0.0189269111067815
