,Unnamed: 0.1,Unnamed: 0,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,7,3,2,0,0,6,5,3,5,5,5,0
1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,4,7,0,4,1,1,3,3,0,4,4,2,0
2,2,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,2,1,2,4,1,4,8,2,1,6,1,1,5,0,4
3,3,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,1,0,7,2,5,1,3,6,4,1,4,5,1,0
