,epsilon_progress,nfe
0,0,0
1,15,100
2,102,1197
3,201,2289
4,304,3384
5,419,4482
6,511,5562
7,582,6644
8,637,7721
9,671,8803
10,692,9886
11,714,11144
12,729,12396
13,739,13644
14,748,14876
15,756,16120
16,761,17362
17,764,18589
18,770,19828
19,777,21059
20,778,22300
21,779,23551
22,782,24791
23,787,26055
24,792,27304
25,793,28567
26,794,29826
27,794,30246
