,EWS_DaysToThreat,rfr_0_t0,rfr_0_t1,rfr_0_t2,rfr_1_t0,rfr_1_t1,rfr_1_t2,rfr_2_t0,rfr_2_t1,rfr_2_t2,rfr_3_t0,rfr_3_t1,rfr_3_t2,rfr_4_t0,rfr_4_t1,rfr_4_t2,A1_DikeIncrease_t0,A1_DikeIncrease_t1,A1_DikeIncrease_t2,A2_DikeIncrease_t0,A2_DikeIncrease_t1,A2_DikeIncrease_t2,A3_DikeIncrease_t0,A3_DikeIncrease_t1,A3_DikeIncrease_t2,A4_DikeIncrease_t0,A4_DikeIncrease_t1,A4_DikeIncrease_t2,A5_DikeIncrease_t0,A5_DikeIncrease_t1,A5_DikeIncrease_t2,A4Expected_Annual_Damage,A4Expected_Number_of_Deaths,Total_Infrastructure_Costs,Total_Expected_Annual_Damage,Total_Expected_Number_of_Deaths
27,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,4,0,0,3,0,0,3,0,0,0.0,0.0,150306216.08149666,13201579.074686192,0.001840979524303296
28,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,37020800.309666246,221157668.37492517,0.023962750516946633
29,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,3,0,0,1,0,0,2,0,0,6402615.795036645,0.0005046992029704567,133597387.91754901,23200282.58147335,0.002925442569664395
30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,4655180.402389976,0.0003254709510424554,54862719.29296569,207806020.71843797,0.023186233811242362
31,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5523871.449109841,0.0003886341220427237,52994188.72148262,189740793.83680928,0.024062288243629944
32,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,4,0,0,3,0,0,4,0,0,0.0,0.0,153331806.59631377,4150606.5158865396,0.0006080843693157408
33,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4655180.402389976,0.0003254709510424554,52994188.72148262,216016295.1789171,0.0253464791193996
34,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,4,0,0,2,0,0,4,0,0,5092723.962401061,0.00042659214923767696,152210479.1192275,9243330.4782876,0.0010346765185534177
35,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,5523871.449109841,0.0003886341220427237,54862719.29296569,174976738.91348764,0.020179287640217015
36,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,4,0,0,1,0,0,3,0,0,7886704.587958999,0.0006404534018376172,148173608.69455487,12037311.103845539,0.001248537771153358
37,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,5523871.449109841,0.0003886341220427237,57554490.86442277,150329560.5580533,0.019912735845324832
38,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,5523871.449109841,0.0003886341220427237,59423021.43590583,135565505.63473168,0.016029735241911907
39,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,4,0,0,4,0,0,5,0,0,0.0,0.0,163389027.58207893,0.0,0.0
40,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,4655180.402389976,0.0003254709510424554,57554490.86442277,196310678.53953916,0.023271702920247044
41,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0.0,0.0,133699781.05193318,40891097.42231795,0.008889212301525801
