,epsilon_progress,nfe
0,0,0
1,13,100
2,56,1198
3,101,2294
4,163,3385
5,210,4477
6,250,5552
7,284,6608
8,297,7638
9,304,8662
10,308,9692
11,309,10818
12,311,11924
13,312,13030
14,314,14134
15,314,15238
16,315,16352
17,316,17444
18,316,18534
19,316,19624
20,316,20712
21,316,21813
22,316,22895
23,316,23987
24,316,25085
25,317,26185
26,317,27298
27,317,28373
28,317,29458
29,317,30013
