,epsilon_progress,nfe
0,0,0
1,16,100
2,67,1195
3,117,2291
4,169,3379
5,230,4465
6,274,5542
7,300,6614
8,316,7642
9,326,8722
10,332,9737
11,336,10764
12,342,11825
13,349,12882
14,350,13935
15,352,14982
16,352,16024
17,353,17068
18,355,18123
19,355,19189
20,357,20281
21,357,21344
22,357,22422
23,357,23502
24,357,24581
25,357,25683
26,357,26780
27,357,27862
28,357,28945
29,357,30018
