,epsilon_progress,nfe
0,0,0
1,13,100
2,103,1193
3,216,2290
4,275,3388
5,328,4477
6,381,5564
7,449,6652
8,523,7746
9,567,8835
10,609,9915
11,633,11130
12,640,12342
13,643,13522
14,652,14712
15,655,15912
16,660,17113
17,665,18307
18,665,19503
19,665,20238
