,epsilon_progress,nfe
0,0,0
1,11,100
2,61,1189
3,107,2279
4,137,3378
5,177,4462
6,197,5536
7,261,6597
8,295,7633
9,302,8649
10,305,9683
11,309,10721
12,311,11886
13,311,13037
14,311,14174
15,312,15345
16,312,16510
17,312,17518
18,312,18522
19,312,19527
20,312,20539
21,312,21548
22,312,22554
23,313,23567
24,313,24582
25,313,25598
26,313,26616
27,313,27624
28,313,28631
29,313,29796
30,313,30137
