,epsilon_progress,nfe
0,0,0
1,4,100
2,43,1195
3,99,2290
4,163,3381
5,212,4472
6,247,5554
7,268,6577
8,274,7666
9,277,8746
10,280,9799
11,281,10851
12,281,11884
13,282,12921
14,283,13980
15,283,15061
16,284,16110
17,285,17180
18,286,18240
19,289,19284
20,292,20304
21,300,21342
22,304,22400
23,306,23466
24,314,24474
25,315,25484
26,316,26521
27,318,27542
28,319,28570
29,321,29687
30,322,30083
