,epsilon_progress,nfe
0,0,0
1,13,100
2,60,1196
3,118,2292
4,165,3384
5,217,4475
6,266,5563
7,314,6637
8,333,7717
9,340,8732
10,357,9832
11,368,10915
12,371,11976
13,373,13054
14,373,14103
15,375,15183
16,377,16259
17,378,17324
18,378,18400
19,379,19487
20,379,20574
21,380,21646
22,381,22716
23,381,23795
24,382,24856
25,382,25941
26,383,27025
27,385,28116
28,386,29192
29,386,30120
