,epsilon_progress,nfe
0,0,0
1,7,100
2,33,1198
3,82,2294
4,144,3294
5,199,4372
6,226,5426
7,252,6437
8,268,7474
9,270,8549
10,276,9624
11,282,10628
12,283,11647
13,283,12647
14,287,13731
15,289,14747
16,290,15784
17,294,16831
18,294,17882
19,295,19003
20,297,20043
