,epsilon_progress,nfe
0,0,0
1,10,100
2,15,400
0,0,0
1,9,100
2,19,400
0,0,0
1,6,100
2,15,499
0,0,0
1,15,100
2,20,400
0,0,0
1,4,100
2,14,496
