,epsilon_progress,nfe
0,0,0
1,13,100
2,53,1194
3,128,2288
4,206,3380
5,274,4466
6,305,5538
7,310,6550
8,315,7628
9,322,8652
10,326,9685
11,328,10737
12,329,11785
13,331,12831
14,333,13882
15,333,14924
16,333,15985
17,333,17046
18,333,18110
19,334,19181
20,334,20121
