,epsilon_progress,nfe
0,0,0
1,23,100
2,129,1196
3,230,2293
4,318,3387
5,362,4481
6,414,5577
7,466,6662
8,520,7745
9,552,8796
10,577,9868
11,582,11063
12,590,12233
13,594,13403
14,597,14584
15,598,15754
16,599,16938
17,601,18098
18,601,19294
19,601,20177
