,EWS_DaysToThreat,rfr_0_t0,rfr_0_t1,rfr_0_t2,rfr_1_t0,rfr_1_t1,rfr_1_t2,rfr_2_t0,rfr_2_t1,rfr_2_t2,rfr_3_t0,rfr_3_t1,rfr_3_t2,rfr_4_t0,rfr_4_t1,rfr_4_t2,A1_DikeIncrease_t0,A1_DikeIncrease_t1,A1_DikeIncrease_t2,A2_DikeIncrease_t0,A2_DikeIncrease_t1,A2_DikeIncrease_t2,A3_DikeIncrease_t0,A3_DikeIncrease_t1,A3_DikeIncrease_t2,A4_DikeIncrease_t0,A4_DikeIncrease_t1,A4_DikeIncrease_t2,A5_DikeIncrease_t0,A5_DikeIncrease_t1,A5_DikeIncrease_t2,A4_Expected_Annual_Damage,A4_Expected_Number_of_Deaths,Total_Infrastructure_Costs,Total_Expected_Annual_Damage,Total_Expected_Number_of_Deaths
0,3,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,4,0,0,5,1,0,5,4,0,10,1,0,4,0,0,0.0,0.0,457737924.8054034,2064412.9377001852,0.0002376067023751429
1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,7,0,0,5,0,0,9,1,0,7,0,0,658864.2930819708,0.00013571542586951536,457695636.6246124,658864.2930819708,0.00013571542586951536
2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,4,0,0,10,0,0,1,0,0,0.0,0.0,180161541.16615647,6273272.33612685,0.0007533136653118076
3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,3,0,0,8,0,1,0,0,0,9665789.513745025,0.000534875885245484,150278651.41527045,33899732.11898313,0.003542039598570304
4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,7,0,0,5,0,0,10,1,0,7,0,0,698046.1819879127,0.00041072541378574397,339028147.5856217,698046.1819879127,0.00041072541378574397
5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,1,0,0,9,0,0,0,0,0,0.0,0.0,123541270.63863288,138718265.21694976,0.01612192331467505
6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,5,0,0,0,0,0,85605175.45071587,0.004565115163678746,91142390.59485434,307937436.8179949,0.029772172097715394
7,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,5,0,0,3,0,0,10,4,0,1,0,0,0.0,0.0,246288058.78928936,6120813.4640809465,0.000719569033489825
8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1288000.474939281,6.952924545619032e-05,54877963.653154396,568977783.1490808,0.05951583818604294
9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,5,0,0,0,0,0,53874729.402564496,0.0028178178293691773,86569096.8751206,391640778.50697064,0.03863787454640368
10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,5,0,0,10,1,0,6,0,0,737228.0708938544,5.333562401874009e-05,230584862.35481545,737228.0708938544,5.333562401874009e-05
11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,3,0,0,8,0,0,0,0,0,10058758.419725243,0.0006402728090344316,130920726.03083524,68706861.69810052,0.006737624197216108
12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,3,0,0,9,0,0,0,0,0,0.0,0.0,132955889.49978435,58648103.27837528,0.006097351388181677
13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,2,0,0,9,0,0,0,0,0,0.0,0.0,130925675.24722672,97629809.5841374,0.01453764545694625
14,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,0,0,7,0,0,5,0,0,10,3,5,4,0,0,0.0,0.0,475084086.24718404,0.0,0.0
15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,2,0,5,0,0,10,7,0,5,0,0,0.0,0.0,266535182.0333504,2126427.0152394692,0.0002511045551039359
16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,7,0,0,0,0,0,0.0,0.0,99371573.10737334,198402859.6300163,0.02312858022949766
17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3941589.299814074,0.0002083252092281502,53360277.340630755,571631371.9739556,0.0596546341498149
18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1170903.2962864123,6.204935592323774e-05,11068771.68625446,1343136977.9092083,0.1210774254564375
19,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,75081887.02096659,0.0037487896750213155,40395195.36216505,1322382858.6728816,0.11444380653893552
20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,1,0,0,6,0,0,0,0,0,58519313.19690725,0.0032113024011788437,117983648.42630099,197237578.413857,0.019333225715853893
21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,6,0,0,0,0,0,43965548.08513408,0.0023756961395692945,92660076.90737799,266297809.4524131,0.027582753073605942
22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,3,0,0,7,0,0,0,0,0,3874115.350300506,0.00023187939075764948,123557587.03306283,131164534.48364924,0.013880389433983543
23,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,3,0,0,8,0,0,0,0,0,12414260.507008912,0.000802313827868226,142008557.77863786,33224665.489636235,0.0032427587571942705
24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,6,0,0,0,0,0,1288000.474939281,6.952924545619032e-05,88086783.18764424,339054049.5793454,0.03588958596249069
25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,5,0,0,0,0,0,85605175.45071587,0.004565115163678746,86582088.45191419,381173857.96578276,0.035891800341488825
26,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1170903.2962864123,6.204935592323774e-05,41768771.68625446,1248471874.9482014,0.11075706621983744
27,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0.0,0.0,89761976.97036539,337766049.1044061,0.035820056717034504
28,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0.0,0.0,43286457.998778105,1247300971.651915,0.1106950168639142
29,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,5,0,0,0,0,0,53874729.402564496,0.0028178178293691773,82008794.73218045,464877199.65475845,0.044757502790177116
30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3941589.299814074,0.0002083252092281502,43763672.7804164,668797194.8590063,0.06785273909812732
31,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,7,0,0,0,0,0,0.0,0.0,94335270.69009914,222332261.36727902,0.02520705693403665
32,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,3,0,0,7,0,0,0,0,0,16901892.648164343,0.001059975221125345,129073461.0701736,75549995.92653963,0.007157326609307022
33,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0.0,0.0,51516855.01860133,591619184.4114043,0.06152478564512574
34,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,175466133.49324337,0.008664845711990422,82845396.98518151,471034816.0083102,0.0399915308898005
35,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,3,0,0,6,0,0,0,0,0,60869047.992899515,0.00345737656588708,127398267.28745246,119517151.2712748,0.009554727954068757
36,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0.0,0.0,12586457.998778107,1341966074.612922,0.12101537610051426
37,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3941589.299814074,0.0002083252092281502,48323974.92335653,595560773.7112184,0.061733110854353894
38,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,1,0,0,7,0,0,0,0,0,3874115.350300506,0.00023187939075764948,119658842.20902213,142592380.56725028,0.0163538027054327
39,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,106361656.62142672,0.005044642820623798,41148308.79076998,771217262.1806189,0.07268905670952297
40,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,183165716.47909787,0.008906290053404025,80073618.90859988,405497977.8463769,0.034113346987440674
41,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,6,0,0,0,0,0,1288000.474939281,6.952924545619032e-05,83526481.0447041,412290470.7271333,0.04200921420626413
42,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,7,0,0,0,0,0,3874115.350300506,0.00023187939075764948,128593889.45033704,107235132.74638653,0.011801912729444555
43,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,24555186.390355475,0.0012455046473248137,46950398.599267125,616174370.8017597,0.06277029029245056
44,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,3,0,0,8,0,0,0,0,0,10058758.419725243,0.0006402728090344316,135957028.44810945,44777459.96083781,0.004659147492677119
45,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,164349284.5356334,0.007954727815777518,78272103.26544777,575351754.7878274,0.049894412776585455
46,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,24555186.390355475,0.0012455046473248137,42390096.456326984,689410791.9495476,0.06888991853622399
47,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,1,0,0,8,0,0,0,0,0,1614049.030689373,0.00010107286361889643,121506107.16968378,140332314.24763912,0.016222996178293946
48,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146043874.39397812,0.006535034987732955,37255203.23710208,737663058.8053824,0.0680598206328587
49,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0.0,0.0,56553157.435875535,567689782.6741415,0.05944630894058675
50,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1288000.474939281,6.952924545619032e-05,49841661.23588018,592907184.8863435,0.06159431489058193
51,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,136455418.00516844,0.006172933901567874,7332080.219521779,1478421492.6180904,0.12718831000208214
52,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,172048867.5214879,0.008196172157191121,75500325.18886614,509814916.625894,0.04401622887422563
53,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,139083349.08814812,0.006967261873314101,79393430.74253404,550085819.340342,0.04890694683412204
54,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,18874580.48555035,0.0009564635040534099,9695195.36216505,1360840655.0984724,0.12197183960456767
55,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,3,0,0,0,0,0,0,0,0,188547222.9674812,0.009376396331818313,114811809.28867435,247195326.24585646,0.01547374771999999
56,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,1,0,0,7,0,0,0,0,0,0.0,0.0,119670860.73469403,184697440.1718033,0.020254751886174503
57,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1288000.474939281,6.952924545619032e-05,45281359.09294004,666143606.0341314,0.06771394313435537
58,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146043874.39397812,0.006535034987732955,32694901.094161935,810899479.9531703,0.07417944887663214
59,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,102581355.61881769,0.004842946788318249,8453407.696608048,1444547430.2317395,0.1258583228888325
60,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4,0,0,0,0,0,110190315.93027323,0.00562986544906298,80635218.40809104,521192786.1824672,0.04756955040987092
61,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,3,0,0,7,0,0,0,0,0,16901892.648164343,0.001059975221125345,134109763.48744781,51620594.189276904,0.005078849904768033
62,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,7,0,0,0,0,0,0.0,0.0,130071573.10737334,101991628.05185705,0.011268441862560567
63,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,138344291.4081236,0.00629359064631935,40026981.31368371,803199896.9673158,0.07393800453521852
64,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,2,0,0,7,0,0,0,0,0,16901892.648164343,0.001059975221125345,127043246.81761597,114531702.23230174,0.015597620678071595
65,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,7,0,0,0,0,0,0.0,0.0,89774968.54715899,295568682.51506686,0.03132668517781008
66,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,5,2,0,4,0,0,10,7,0,5,0,0,0.0,0.0,317174359.8147786,2074748.6172900659,0.00023985634449660834
67,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0.0,0.0,46956552.87566118,664855605.5591922,0.06764441388889918
68,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4000328.0510594607,0.0002120773010861577,79023974.92335653,502962093.7288995,0.051616788511779865
69,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1299458.6464726762,7.026116622751389e-05,80541661.23588018,500261224.3243127,0.05147497237692122
70,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0.0,0.0,85201674.82742524,411002470.252194,0.04193968496080794
71,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,1784322.8477642164,0.0001108079736915419,43763672.7804164,1193840664.0231788,0.10333586333700077
72,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,1,0,0,7,0,0,0,0,0,3874115.350300506,0.00023187939075764948,124695144.62629634,118662978.82998756,0.01427532600089371
73,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,1,0,0,8,0,0,0,0,0,1614049.030689373,0.00010107286361889643,126542409.58695799,116402912.51037642,0.014144519473754957
74,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,4,0,0,0,0,0,121307164.88788325,0.006339983345275885,85208512.12782478,416875847.4029501,0.037666668523085964
75,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,7,0,0,0,0,0,0.0,0.0,125035270.69009914,125921029.78911978,0.013346918567099556
76,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,3,0,0,0,0,0,150200198.0457581,0.007677379769527006,83966724.46226779,445768880.560825,0.03900406494733709
77,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146043874.39397812,0.006535034987732955,42291505.65437629,713733657.0681196,0.06598134392831971
78,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,183165716.47909787,0.008906290053404025,75513316.76565973,478734398.9941647,0.04023297523121411
79,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,3,0,0,9,0,0,0,0,0,0.0,0.0,137992191.91705856,34718701.541112565,0.004018874683642688
80,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,285158.5032134675,2.317641515206344e-05,45281359.09294004,1192341499.678628,0.10324823177846129
81,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,172048867.5214879,0.008196172157191121,80536627.60614035,485885514.8886313,0.04193775216968664
82,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0.0,0.0,82216855.01860133,498961765.67784,0.051404711210693704
83,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,3,0,0,9,0,0,1,0,0,0.0,0.0,169080935.33376068,20810404.98262732,0.0024404449293260445
