,epsilon_progress,nfe
0,0,0
1,21,100
2,109,1197
3,177,2294
4,258,3390
5,330,4479
6,404,5567
7,455,6644
8,488,7714
9,511,8764
10,531,9824
11,562,10968
12,580,12121
13,590,13287
14,598,14447
15,606,15623
16,610,16799
17,614,17969
18,618,19141
19,620,20123
